"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C21","C2012","36.2mm","73.3mm","36.2mm","73.3mm","36.2mm","72.35mm","T","90.00","2.2uF"
"C23","C2012","16.2mm","69mm","16.2mm","69mm","16.2mm","69.95mm","B","270.00","2.2uF"
"C24","C2012","14.2mm","69mm","14.2mm","69mm","14.2mm","68.05mm","B","90.00","100nF"
"C26","C2012","20.7mm","69mm","20.7mm","69mm","20.7mm","68.05mm","B","90.00","100nF"
"C27","C2012","28.3mm","70.5mm","28.3mm","70.5mm","29.25mm","70.5mm","B","180.00","100nF"
"C28","C2012","31.2mm","69.6mm","31.2mm","69.6mm","31.2mm","68.65mm","B","90.00","100nF"
"C29","C2012","29.5mm","57mm","29.5mm","57mm","29.5mm","57.95mm","B","270.00","100nF"
"C30","C2012","28.7mm","66.7mm","28.7mm","66.7mm","27.75mm","66.7mm","B","0.00","100nF"
"C31","C2012","22.2mm","57mm","22.2mm","57mm","22.2mm","57.95mm","B","270.00","100nF"
"C32","C2012","16.4mm","55.7mm","16.4mm","55.7mm","16.4mm","56.65mm","B","270.00","100nF"
"C33","C2012","17mm","60.7mm","17mm","60.7mm","17.95mm","60.7mm","B","180.00","100nF"
"C34","C2012","17mm","65.7mm","17mm","65.7mm","17.95mm","65.7mm","B","180.00","100nF"
"C35","C2012","31.5mm","57mm","31.5mm","57mm","31.5mm","57.95mm","B","270.00","100nF"
"C36","C2012","28.8mm","61.7mm","28.8mm","61.7mm","27.85mm","61.7mm","B","0.00","100nF"
"C25","C2012","18.2mm","55.7mm","18.2mm","55.7mm","18.2mm","56.65mm","B","270.00","100nF"
"R3","R2012","84.2mm","108.2mm","84.2mm","108.2mm","84.2mm","107.25mm","T","90.00","1k"
"C52","C2012","40.3mm","75mm","40.3mm","75mm","39.35mm","75mm","T","0.00","10uF"
"C53","C2012","37.6mm","72.7mm","37.6mm","72.7mm","37.6mm","73.65mm","B","270.00","100nF"
"CN2","MICROSD","16.2125mm","123.45mm","21.15mm","118.35mm","13.175mm","115.9mm","T","180.00","microSD"
"R47","R2012","21.3mm","77.2mm","21.3mm","77.2mm","21.3mm","78.15mm","T","270.00","10k"
"U7","SPSN-FAC024","39mm","77.8mm","39mm","77.8mm","36.5mm","79.3mm","B","270.00","S25FL512SAGBHI310"
"R46","R2012","37.5mm","88.3mm","37.5mm","88.3mm","37.5mm","87.35mm","T","90.00","10k"
"R45","R2012","34.9mm","88.3mm","34.9mm","88.3mm","34.9mm","89.25mm","T","270.00","10k"
"SW2","418121270802","36.15mm","96mm","36.15mm","96mm","34.88mm","91.6mm","T","0.00","418121270802"
"R15","R2012","43.7mm","88.3mm","43.7mm","88.3mm","43.7mm","87.35mm","T","90.00","10k"
"R14","R2012","41.1mm","88.3mm","41.1mm","88.3mm","41.1mm","89.25mm","T","270.00","10k"
"SW1","418121270802","42.4mm","96mm","42.4mm","96mm","41.13mm","91.6mm","T","0.00","418121270802"
"C40","C2012","32.45mm","115.925mm","32.45mm","115.925mm","31.5mm","115.925mm","B","0.00","10uF"
"C39","C2012","36.6mm","115.925mm","36.6mm","115.925mm","37.55mm","115.925mm","B","180.00","100nF"
"U3","ONSC-SOT-223_L","33.4mm","110.725mm","33.4mm","110.725mm","31.1mm","114.1mm","B","270.00","NCP1117ST33T3G"
"C22","C2012","27.1mm","46.4mm","27.1mm","46.4mm","27.1mm","45.45mm","B","90.00","100nF"
"R44","R2012","29.2mm","46.4mm","29.2mm","46.4mm","29.2mm","45.45mm","B","90.00","4k7"
"R58","R2012","10.9mm","113.5mm","10.9mm","113.5mm","11.85mm","113.5mm","T","180.00","4k7"
"R59","R2012","10.9mm","105.5mm","10.9mm","105.5mm","11.85mm","105.5mm","T","180.00","4k7"
"R60","R2012","10.9mm","107.5mm","10.9mm","107.5mm","11.85mm","107.5mm","T","180.00","4k7"
"R61","R2012","10.9mm","109.5mm","10.9mm","109.5mm","11.85mm","109.5mm","T","180.00","4k7"
"R62","R2012","10.9mm","111.5mm","10.9mm","111.5mm","11.85mm","111.5mm","T","180.00","4k7"

